,Channel_name,Video_name,yt_link,video_date,duration,views,likes
0,Luke Barousse,Data Analyst vs. Data Scientist (funny!),i8PKI_zJfDU,2022-05-24 13:00:17+00:00,PT4M55S,20543,1185
1,Luke Barousse,How I use Excel as a Data Analyst,lw6sPHH7twk,2022-05-16 09:00:30+00:00,PT11M38S,97461,3783
2,Luke Barousse,PROJECTS that landed Data Jobs for my Subscribers,5Q0gB7imNOo,2022-04-13 09:00:02+00:00,PT9M33S,51164,2829
3,Luke Barousse,They became Data Analysts with THIS - Google Data Analytics Certificate: One Year Later,MSlIfGSI6bo,2022-04-01 09:00:10+00:00,PT14M1S,94238,3721
4,Luke Barousse,How I find projects as a Data Analyst,NQSe-SuykJU,2022-03-07 10:00:12+00:00,PT12M9S,42299,2251
5,Luke Barousse,How I learned how to learn,W5qAY4XidHE,2022-02-25 10:00:13+00:00,PT12M14S,50641,2730
6,Luke Barousse,The book every Data Analyst should read,09JnFEdZe2A,2022-02-08 10:00:00+00:00,PT10M34S,96681,5121
7,Luke Barousse,How I use SQL as a Data Analyst,GEBzsz8ZSXs,2022-01-28 10:00:07+00:00,PT15M30S,238301,9033
8,Luke Barousse,Why you should NOT be a Data Analyst,NAuuqdzC_rI,2022-01-14 10:00:08+00:00,PT12M14S,105909,2751
9,Luke Barousse,How I Would Learn to be a Data Analyst,CC66RXeTn_4,2022-01-05 10:00:04+00:00,PT12M30S,476012,19295
10,Luke Barousse,Top Courses to Become a Data Analyst,aqRxZSrJLEc,2021-12-27 10:00:01+00:00,PT13M35S,171858,9041
11,Luke Barousse,DON'T get a Mac for Data Science?? - MacOS Vs. Windows,U4vh2EClJic,2021-12-16 12:00:14+00:00,PT9M36S,65008,1967
12,Luke Barousse,"M1 Chip is as FAST as M1 Max!!! 🤯  (13"" Mac Air Vs. 14"" Mac Pro) #shorts",egtF-C5WIpk,2021-12-10 13:00:17+00:00,PT58S,442684,15583
13,Luke Barousse,M1 Max/Pro vs M1 Macbook for Data Science.... should you?!?,1sQDJSQBUe4,2021-12-07 13:00:00+00:00,PT17M22S,59440,1643
14,Luke Barousse,How I learn Data Science as a Data Analyst #shorts,NrVYzpy4Xns,2021-11-24 10:00:08+00:00,PT49S,28374,1576
15,Luke Barousse,Data Scientist vs Data Engineer vs Data Analyst (funny!),y3TxcejHw-4,2021-11-22 13:00:22+00:00,PT4M15S,39748,1989
16,Luke Barousse,Building a bot to scrape job data… How NOT to collect data,1kU_ASADlPY,2021-11-15 10:00:00+00:00,PT9M,41541,1435
17,Luke Barousse,How to get Data Analytics side jobs - NEW LinkedIn Feature  #shorts,TeZVQ9hsgTM,2021-11-09 10:00:11+00:00,PT37S,28455,1675
18,Luke Barousse,BEST JOBS in Data Science,VrdnBxx8BBI,2021-11-03 11:00:11+00:00,PT15M39S,122561,4742
19,Luke Barousse,The BIGGEST MISTAKE when starting a data project!,W_mC_I0_fx4,2021-09-24 07:00:20+00:00,PT7M48S,21935,1303
20,Luke Barousse,Learn PYTHON to be a DATA ANALYST?!? (or is R enough...),Zcy-ND_4ydQ,2021-09-15 11:00:27+00:00,PT13M7S,128673,5409
21,Luke Barousse,How to show EXPERIENCE... when you have NONE?!?,VchXKvfCi3s,2021-09-01 13:00:29+00:00,PT11M25S,31532,1639
22,Luke Barousse,Use THIS to showcase EXPERIENCE in Data Science,z5mAumgV2rA,2021-08-24 13:00:24+00:00,PT9M19S,19004,1215
23,Luke Barousse,Get NOTICED in Data Science!!! (3 types of GREAT projects),cIZWgPmpRVc,2021-08-17 11:00:12+00:00,PT8M1S,75049,4005
24,Luke Barousse,Data Science - Expectation vs Reality (funny!) - ft. @Ken Jee,78LMtFItAdw,2021-08-06 15:00:11+00:00,PT7M39S,33480,1573
25,Luke Barousse,Staying Motivated in Data Science,ZWqH5emDdOI,2021-07-13 19:44:11+00:00,PT6M48S,11221,611
26,Luke Barousse,Get a JOB w/ Google Data Analytics Certificate?!? (ft. Certificate Holders),BEKXRqqgHCw,2021-07-01 04:15:47+00:00,PT14M43S,221774,8314
27,Luke Barousse,Transition into Data Science - My Tips & Story,3Ao2FV1r5-8,2021-06-16 17:23:28+00:00,PT11M25S,37042,1766
28,Luke Barousse,STOP using Spreadsheets for Everything!,3TBwY4VjLX8,2021-05-30 16:36:47+00:00,PT10M39S,134022,4543
29,Luke Barousse,Standout as a Data Analyst with THIS TOOL,aw14VK9sN2s,2021-05-08 13:44:38+00:00,PT14M32S,69712,2383
30,Luke Barousse,Python Project  - Using an API to count my bike jumps!,DNJfUPfSZpY,2021-04-28 17:09:48+00:00,PT12M23S,7232,327
31,Luke Barousse,THIS got me my job as a Data Analyst - My portfolio tip,MfUzKeEKtr8,2021-04-19 17:00:10+00:00,PT8M5S,208385,8840
32,Luke Barousse,Python Vs R (funny!),DGrszAeMZJI,2021-04-11 16:11:54+00:00,PT3M23S,94374,2804
33,Luke Barousse,Google vs IBM Data Analyst Certificate - BEST Certificate for Data Analysts,jp-Lv_3a2VI,2021-04-01 16:43:14+00:00,PT10M26S,495199,18831
34,Luke Barousse,Certificates vs Degree for Data Analysts (ft. Google Data Analytics Professional Certificate),Ush_KFSKNgg,2021-03-25 17:00:19+00:00,PT10M39S,48553,1932
35,Luke Barousse,Become a DATA ANALYST with NO degree?!? The Google Data Analytics Professional Certificate,fmLPS6FBbac,2021-03-17 19:50:14+00:00,PT11M36S,3211411,85164
36,Luke Barousse,Data Scientist vs Data Analyst (funny!),_r655ogzK4A,2021-03-11 18:00:21+00:00,PT4M5S,298469,7403
37,Luke Barousse,Mac Vs PC - BEST for Data Science,YZkcEtWgMGw,2021-03-04 18:00:17+00:00,PT14M34S,55639,1496
38,Luke Barousse,Power BI vs Tableau - Best BI Tool,axgNfM55dw8,2021-02-25 18:00:01+00:00,PT18M2S,241551,5858
39,Luke Barousse,Day in the life of a data analyst,GmTD-MBea_E,2021-02-18 18:00:07+00:00,PT7M51S,63194,1846
40,Luke Barousse,Data Science shortcuts for Mac,X4DBQTl7AfI,2021-02-10 12:00:21+00:00,PT12M33S,3227,161
41,Luke Barousse,Install your favorite Windows app on M1 Mac - ft. Parallels,hWs_q9NBBKM,2021-02-04 18:00:10+00:00,PT5M59S,34743,1003
42,Luke Barousse,Windows on the M1 Mac - What are your options?,W6N8n99htvw,2021-01-30 21:39:58+00:00,PT10M42S,259970,5382
43,Luke Barousse,Data Analyst's WFH Setup & Upgrades,18ZYDDIgIiM,2021-01-21 19:00:00+00:00,PT10M,33365,808
44,Luke Barousse,Python for M1 Mac vs Intel (SPOILER: M1 is 2x faster),Vor_OkEnxAA,2021-01-14 18:00:05+00:00,PT7M10S,15471,353
45,Luke Barousse,M1 Macbook Air vs Pro (8 vs 16 GB) for Data Science,xzR4L_XYW3g,2021-01-07 18:00:12+00:00,PT6M51S,90771,1980
46,Luke Barousse,M1 vs Intel Mac for Business Intelligence Tools #shorts,aULGH7zts0c,2021-01-03 03:39:18+00:00,PT31S,1342,22
47,Luke Barousse,M1 vs Intel Mac for Python #shorts,GZKDG2pyKhI,2021-01-03 00:17:39+00:00,PT31S,913,23
48,Luke Barousse,M1 vs Intel Mac for Excel #shorts,sW2w10lL1LM,2021-01-02 21:48:46+00:00,PT31S,1230,23
49,Luke Barousse,M1 vs Intel Mac for Data Science,vyPm2fOyS7Y,2021-01-02 02:04:41+00:00,PT15M4S,71200,1807
50,Luke Barousse,Top Non-technical Skills for Business Intelligence,YCcC8LQ5RGU,2020-12-19 19:19:01+00:00,PT26S,665,30
51,Luke Barousse,Top 3 Technical Skills for Business Intelligence (BI) #shorts,AfG4jS13X5c,2020-12-19 19:01:41+00:00,PT30S,863,31
52,Luke Barousse,What is Business Intelligence (BI)? #shorts,Dt2hHmTkoMg,2020-12-19 18:56:25+00:00,PT59S,934,46
53,Luke Barousse,How NOT to learn Python for Data Science,p04t7Ho-DEM,2020-11-25 02:09:27+00:00,PT7M42S,101526,3493
54,Luke Barousse,Lambda Functions for Data Science / Data Analysis - Python P.6,MJOYxUU0wRg,2020-11-19 01:00:16+00:00,PT17M10S,1918,94
55,Luke Barousse,Python Functions for Data Science / Data Analysis - P.5,WslmhWukJdM,2020-11-14 23:11:13+00:00,PT28M44S,2154,83
56,Luke Barousse,Python List Comprehension for Data Science / Data Analysis - P.4,MADnq-md0yw,2020-11-11 02:38:36+00:00,PT22M27S,1574,84
57,Luke Barousse,Python For & While Loops for Data Science / Data Analysis - P.3,NnfbVOt9IR0,2020-11-07 23:54:30+00:00,PT23M39S,2738,124
