,channel_name,video_name,views,url
0,Luke Barousse,Data Analyst vs. Data Scientist (funny!),20543,www.youtube.com/watch?v=i8PKI_zJfDU
1,Luke Barousse,How I use Excel as a Data Analyst,97461,www.youtube.com/watch?v=lw6sPHH7twk
2,Luke Barousse,PROJECTS that landed Data Jobs for my Subscribers,51164,www.youtube.com/watch?v=5Q0gB7imNOo
3,Luke Barousse,They became Data Analysts with THIS - Google Data Analytics Certificate: One Year Later,94238,www.youtube.com/watch?v=MSlIfGSI6bo
4,Luke Barousse,How I find projects as a Data Analyst,42299,www.youtube.com/watch?v=NQSe-SuykJU
5,Luke Barousse,How I learned how to learn,50641,www.youtube.com/watch?v=W5qAY4XidHE
6,Luke Barousse,The book every Data Analyst should read,96681,www.youtube.com/watch?v=09JnFEdZe2A
7,Luke Barousse,How I use SQL as a Data Analyst,238301,www.youtube.com/watch?v=GEBzsz8ZSXs
8,Luke Barousse,Why you should NOT be a Data Analyst,105909,www.youtube.com/watch?v=NAuuqdzC_rI
9,Luke Barousse,How I Would Learn to be a Data Analyst,476012,www.youtube.com/watch?v=CC66RXeTn_4
10,Luke Barousse,Top Courses to Become a Data Analyst,171858,www.youtube.com/watch?v=aqRxZSrJLEc
11,Luke Barousse,DON'T get a Mac for Data Science?? - MacOS Vs. Windows,65008,www.youtube.com/watch?v=U4vh2EClJic
12,Luke Barousse,"M1 Chip is as FAST as M1 Max!!! 🤯  (13"" Mac Air Vs. 14"" Mac Pro) #shorts",442684,www.youtube.com/watch?v=egtF-C5WIpk
13,Luke Barousse,M1 Max/Pro vs M1 Macbook for Data Science.... should you?!?,59440,www.youtube.com/watch?v=1sQDJSQBUe4
14,Luke Barousse,How I learn Data Science as a Data Analyst #shorts,28374,www.youtube.com/watch?v=NrVYzpy4Xns
15,Luke Barousse,Data Scientist vs Data Engineer vs Data Analyst (funny!),39748,www.youtube.com/watch?v=y3TxcejHw-4
16,Luke Barousse,Building a bot to scrape job data… How NOT to collect data,41541,www.youtube.com/watch?v=1kU_ASADlPY
17,Luke Barousse,How to get Data Analytics side jobs - NEW LinkedIn Feature  #shorts,28455,www.youtube.com/watch?v=TeZVQ9hsgTM
18,Luke Barousse,BEST JOBS in Data Science,122561,www.youtube.com/watch?v=VrdnBxx8BBI
19,Luke Barousse,The BIGGEST MISTAKE when starting a data project!,21935,www.youtube.com/watch?v=W_mC_I0_fx4
20,Luke Barousse,Learn PYTHON to be a DATA ANALYST?!? (or is R enough...),128673,www.youtube.com/watch?v=Zcy-ND_4ydQ
21,Luke Barousse,How to show EXPERIENCE... when you have NONE?!?,31532,www.youtube.com/watch?v=VchXKvfCi3s
22,Luke Barousse,Use THIS to showcase EXPERIENCE in Data Science,19004,www.youtube.com/watch?v=z5mAumgV2rA
23,Luke Barousse,Get NOTICED in Data Science!!! (3 types of GREAT projects),75049,www.youtube.com/watch?v=cIZWgPmpRVc
24,Luke Barousse,Data Science - Expectation vs Reality (funny!) - ft. @Ken Jee,33480,www.youtube.com/watch?v=78LMtFItAdw
25,Luke Barousse,Staying Motivated in Data Science,11221,www.youtube.com/watch?v=ZWqH5emDdOI
26,Luke Barousse,Get a JOB w/ Google Data Analytics Certificate?!? (ft. Certificate Holders),221774,www.youtube.com/watch?v=BEKXRqqgHCw
27,Luke Barousse,Transition into Data Science - My Tips & Story,37042,www.youtube.com/watch?v=3Ao2FV1r5-8
28,Luke Barousse,STOP using Spreadsheets for Everything!,134022,www.youtube.com/watch?v=3TBwY4VjLX8
29,Luke Barousse,Standout as a Data Analyst with THIS TOOL,69712,www.youtube.com/watch?v=aw14VK9sN2s
